逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
830, 36069.1, 103.64
840, 36023.3, 106.833
850, 36233.2, 106.816
860, 36307.5, 106.052
870, 36481.8, 106.101
880, 36374.1, 108.235
890, 36569.1, 104.94
900, 36720.4, 109.066
910, 36731.8, 104.17
920, 36780.6, 109.287
930, 36845.9, 106.034
940, 36907.2, 107.442
950, 36973.7, 106.822
960, 37037.6, 108.259
970, 37084.3, 109.341
980, 37175.2, 109.341
990, 37231.4, 108.891
1000, 37298.1, 108.226
1010, 37417.9, 109.91
1020, 37441.4, 110.966
1030, 37544.3, 109.333
1040, 37617.7, 112.454
1050, 37730.4, 108.985
1060, 37744.5, 111.287
1070, 37840.2, 111.756
1080, 38048.9, 111.055
1090, 38131, 109.301
1100, 38098.3, 109.214
1110, 38101.8, 112.293
1120, 38143.5, 111.141
1130, 38253.8, 109.653
1140, 38232.4, 112.154
1150, 38445.2, 110.338
1160, 38559.9, 112.814
1170, 38582.9, 112.171
1180, 38740.4, 113.433
1190, 38699.1, 115.769
1200, 38704, 112.698
1210, 38895.7, 111.499
1220, 38829, 111.337
1230, 38960.7, 113.124
1240, 39010.9, 115.442
1250, 39141, 112.243
1260, 39070.3, 116.434
1270, 39148, 113.01
1280, 39319.6, 116.085
1290, 39350.8, 112.958
1300, 39475.1, 117.373
1310, 39365.7, 114.216
1320, 39453.6, 113.87
1330, 39570, 115.763
1340, 39516.6, 113.534
1350, 39756.1, 114.655
1360, 39740.8, 114.829
1370, 39808.5, 114.882
1380, 39999.5, 114.943
1390, 39924.2, 119.101
1400, 40014.1, 117.169
1410, 40089, 116.89
1420, 40123.6, 116.278
1430, 40213.5, 116.987
1440, 40241.2, 115.397
1450, 40328.6, 119.125
1460, 40381.4, 114.792
1470, 40481.3, 117.805
1480, 40536.7, 115.154
1490, 40652.7, 119.443
1500, 40679.6, 118.482

mastery_rating, DPS, DPS-Error
0, 30278.5, 30.0694
10, 30330.5, 89.333
20, 30392, 89.2825
30, 30458.8, 89.386
40, 30514.6, 90.0941
50, 30591.2, 90.2261
60, 30639.2, 88.9525
70, 30702.2, 90.6147
80, 30754.3, 90.6729
90, 30810.3, 90.1657
100, 30871.7, 90.9518
110, 30940.1, 91.3407
120, 31004.2, 91.4943
130, 31050.6, 91.671
140, 31121.2, 91.1468
150, 31188.8, 91.838
160, 31234.2, 91.0678
170, 31297.2, 91.699
180, 31347.8, 92.1031
190, 31423.9, 93.015
200, 31500.5, 93.1849
210, 31532, 93.1536
220, 31609.2, 93.0384
230, 31659.8, 92.8326
240, 31707.7, 93.5221
250, 31773, 93.0244
260, 31851.8, 94.4799
270, 31897.1, 93.528
280, 31966.2, 94.1035
290, 32035.3, 94.719
300, 32063.8, 93.5433
310, 32137.8, 95.2484
320, 32195.1, 94.2324
330, 32244.4, 94.4779
340, 32316, 94.4408
350, 32375.1, 95.3631
360, 32434.5, 95.435
370, 32486.8, 95.2376
380, 32537.8, 96.0005
390, 32612.1, 96.2431
400, 32668.3, 95.2461
410, 32713.5, 96.7416
420, 32794, 97.1294
430, 32853.3, 96.2341
440, 32898.8, 96.8882
450, 32974.3, 97.1938
460, 33049.9, 97.8364
470, 33095.5, 97.7369
480, 33154.6, 97.4922
490, 33204.9, 97.8697
500, 33270.4, 97.8822
510, 33321.9, 98.7212
520, 33404.7, 99.6206
530, 33444.6, 98.0838
540, 33496.1, 98.1138
550, 33566.3, 98.502
560, 33621, 98.5056
570, 33679.3, 98.7807
580, 33724.5, 99.1116
590, 33792.4, 99.4545
600, 33842.8, 99.6053
610, 33901.3, 99.7434
620, 33976.1, 99.8148
630, 34027.8, 99.4659
640, 34065.8, 101.234
650, 34154.2, 100.578
660, 34223.4, 100.682
670, 34256.4, 100.887
680, 34326.5, 100.546
690, 34381.2, 101.192
700, 34437.1, 100.97
710, 34501.6, 101.389
720, 34563.6, 101.741
730, 34618.1, 101.312
740, 34684, 102.785
750, 34759.4, 102.885
760, 34789.5, 102.693
770, 34856.4, 102.854
780, 34917.1, 102.457
790, 34968, 102.656
800, 35028.8, 103.065
810, 35103.4, 103.489
820, 35144.9, 103.211
830, 35210.6, 103.791
840, 35247.6, 104.041
850, 35320.2, 104.023
860, 35369.6, 103.306
870, 35441.4, 104.477
880, 35500.8, 105.317
890, 35553.8, 104.998
900, 35613.1, 104.44
910, 35671.4, 105.364
920, 35723.2, 105.297
930, 35790.4, 105.53
940, 35843.3, 105.835
950, 35901.2, 105.854
960, 35968.4, 105.682
970, 36018.1, 105.885
980, 36065.9, 105.984
990, 36130, 106.038
1000, 36192.9, 106.8
1010, 36245.3, 107.375
1020, 36304.6, 106.957
1030, 36368.1, 106.66
1040, 36403, 107.633
1050, 36476.5, 107.783
1060, 36537.3, 107.676
1070, 36600.3, 108.625
1080, 36648.4, 108.068
1090, 36708.4, 108.819
1100, 36756.1, 108.237
1110, 36816.4, 108.322
1120, 36867.6, 108.332
1130, 36924.2, 108.942
1140, 36974.5, 109.284
1150, 37043.3, 109.438
1160, 37089, 109.671
1170, 37134.4, 109.576
1180, 37183.8, 109.779
1190, 37251.9, 109.749
1200, 37294.2, 109.655
1210, 37343.5, 110.424
1220, 37404, 110.668
1230, 37458.5, 109.898
1240, 37487.7, 111.249
1250, 37570.4, 110.534
1260, 37621.9, 111.507
1270, 37659.6, 111.361
1280, 37722, 106.045
1290, 37752.7, 111.13
1300, 37832.5, 111.909
1310, 37903, 112.641
1320, 37937, 111.902
1330, 37979.5, 112.488
1340, 38039.8, 112.636
1350, 38069.8, 113.264
1360, 38131, 112.135
1370, 38184.8, 112.51
1380, 38239.7, 113.943
1390, 38314.5, 113.503
1400, 38348.7, 114.307
1410, 38401, 113.316
1420, 38451.4, 114.401
1430, 38505.6, 114.601
1440, 38550.3, 113.823
1450, 38602, 115.195
1460, 38670.1, 115.098
1470, 38717.4, 115.032
1480, 38779.5, 115.13
1490, 38800.6, 115.757
1500, 38857.6, 115.728

versatility_rating, DPS, DPS-Error
0, 30278.5, 30.0694
10, 30336.7, 90.0788
20, 30411.2, 89.4623
30, 30450.3, 90.0117
40, 30499.7, 90.2005
