铃兰圣礼 Plot Results:
crit_rating, DPS, DPS-Error
690, 82,403, 233.556
700, 82,413, 235.438
710, 82,617.2, 228.326
720, 82,845.9, 242.544
730, 82,967.5, 239.081
740, 83,251.6, 238.659
750, 83,277, 230.464
760, 83,486.1, 237.176
770, 83,552.4, 248.172
780, 83,721.9, 247.114
790, 84,029, 230.695
800, 83,989.9, 237.294
810, 84,196.3, 240.418
820, 84,124.4, 238.164
830, 84,529, 251.849
840, 84,576.5, 245.607
850, 84,774.4, 236.994
860, 84,842.8, 252.043
870, 85,015.2, 248.601
880, 85,198.1, 246.016
890, 85,220.4, 248.78
900, 85,681.8, 236.639
910, 85,683.6, 250.592
920, 85,598.5, 243.907
930, 85,934.9, 240.152
940, 86,015, 240.947
950, 86,055.9, 248.248
960, 86,175.8, 242.756
970, 86,348, 238.692
980, 86,739.8, 242.085
990, 86,711.6, 257.323
1,000, 86,708.5, 256.292
1,010, 86,977.2, 241.961
1,020, 87,003.1, 259.121
1,030, 87,230.3, 239.39
1,040, 87,332, 253.051
1,050, 87,475.6, 247.955
1,060, 87,630.6, 249.441
1,070, 87,858.5, 251.572
1,080, 87,798.8, 240.675
1,090, 88,004.3, 246.185
1,100, 88,168.8, 241.74
1,110, 88,269.4, 247.208
1,120, 88,443.1, 244.676
1,130, 88,586.3, 262.918
1,140, 88,462.3, 251.51
1,150, 88,833.4, 260.089
1,160, 88,942, 251.083
1,170, 89,142.7, 258.867
1,180, 89,249.3, 251.252
1,190, 89,400.2, 258.42
1,200, 89,283, 256.104
1,210, 89,592.4, 260.657
1,220, 89,603.3, 257.876
1,230, 90,074.4, 267.021
1,240, 90,215.3, 255.125
1,250, 90,310.7, 250.734
1,260, 90,295.5, 249.964
1,270, 90,263.8, 254.797
1,280, 90,639.1, 248.676
1,290, 90,798.3, 250.077
1,300, 90,741, 263.075
1,310, 90,865.5, 269.417
1,320, 91,052.8, 270.356
1,330, 91,057.5, 262.714
1,340, 91,339.8, 266.948
1,350, 91,138.2, 261.993
1,360, 91,314.5, 267.062
1,370, 91,536.8, 271
1,380, 91,473, 248.669
1,390, 91,602.6, 253.306
1,400, 91,860.5, 274.542
1,410, 92,081.5, 264.375
1,420, 92,092.8, 259.869
1,430, 92,250.3, 268.127
1,440, 92,261.7, 254.558
1,450, 92,309, 268.188
1,460, 92,544, 263.078
1,470, 92,647.3, 258.404
1,480, 92,649.9, 273.461
1,490, 92,623, 268.146
1,500, 92,946.9, 251.514

mastery_rating, DPS, DPS-Error
0, 72,152.1, 71.4209
10, 72,436.2, 205.073
20, 72,646.8, 207.565
30, 72,857, 206.362
40, 72,977, 208.469
50, 73,217.6, 207.005
60, 73,387.6, 208.846
70, 73,567.4, 209.198
80, 73,757.4, 209.911
90, 73,953.6, 208.839
100, 74,078.2, 210.466
110, 74,282.3, 209.669
120, 74,436.9, 212.211
130, 74,649.6, 212.297
140, 74,822.9, 212.591
150, 74,963.5, 215.184
160, 75,162.4, 215.321
170, 75,337.7, 214.695
180, 75,493, 214.903
190, 75,694, 216.97
200, 75,907.9, 214.778
210, 76,033.5, 216.353
220, 76,242.2, 215.971
230, 76,463.8, 215.635
240, 76,529.2, 216.157
250, 76,783.3, 216.381
260, 76,973.7, 217.51
270, 77,110.7, 219.647
280, 77,316.2, 219.527
290, 77,493.8, 219.401
300, 77,641.8, 222.834
310, 77,852.9, 221.377
320, 78,029.1, 220.998
330, 78,204.7, 221.951
340, 78,371.8, 222.831
350, 78,561.2, 222.781
360, 78,742.1, 222.957
370, 78,919.1, 224.708
380, 79,078.8, 224.916
390, 79,239, 223.43
400, 79,472.8, 224.888
410, 79,559.6, 227.478
420, 79,819.7, 225.78
430, 79,976.2, 226.558
440, 80,128.7, 228.722
450, 80,333.2, 228.521
460, 80,542.4, 227.681
470, 80,668, 229.734
480, 80,872.4, 228.255
490, 81,073.9, 229.995
500, 81,223.8, 231.034
510, 81,386.6, 232.491
520, 81,583.5, 230.654
530, 81,722.2, 231.929
540, 81,900, 231.654
550, 82,090.7, 232.577
560, 82,273.5, 234.26
570, 82,470.5, 234.258
580, 82,546.6, 233.86
590, 82,830.9, 234.388
600, 82,974.6, 235.332
610, 83,122.1, 238.021
620, 83,347, 235.509
630, 83,531.5, 237.01
640, 83,685.3, 236.94
650, 83,886.6, 237.917
660, 84,082.4, 237.954
670, 84,207.3, 239.383
680, 84,393.1, 240.078
690, 84,576.7, 239.25
700, 84,751.5, 239.273
710, 84,914.5, 240.777
720, 85,087.1, 241.276
730, 85,267.6, 241.462
740, 85,462.9, 242.039
750, 85,595, 242.437
760, 85,788.1, 243.766
770, 85,986.6, 243.256
780, 86,146.2, 243.592
790, 86,319.9, 244.56
800, 86,540.4, 244.665
810, 86,591.4, 247.304
820, 86,823.1, 245.643
830, 87,040.9, 240.489
840, 87,179.9, 247.861
850, 87,349.6, 247.306
860, 87,552.3, 248.07
870, 87,717, 249.816
880, 87,893.1, 250.948
890, 88,089.2, 250.316
900, 88,236.4, 252.019
910, 88,436.1, 249.338
920, 88,577.3, 249.286
930, 88,774.6, 251.711
940, 88,941.5, 249.968
950, 89,104.9, 254.212
960, 89,312.2, 252.903
970, 89,483.2, 253.184
980, 89,626.9, 253.756
990, 89,813.7, 255.376
1,000, 89,993.8, 254.643
1,010, 90,139.4, 258.409
1,020, 90,328.4, 256.869
1,030, 90,511, 256.693
1,040, 90,654.8, 257.511
1,050, 90,825.4, 257.083
1,060, 91,030.7, 257.749
1,070, 91,186.9, 259.198
1,080, 91,348.3, 259.36
1,090, 91,526.2, 258.884
1,100, 91,701.9, 260.442
1,110, 91,864.9, 259.153
1,120, 92,044, 260.975
1,130, 92,238.1, 261.191
1,140, 92,405.4, 261.813
1,150, 92,572, 263.214
1,160, 92,734.3, 262.98
1,170, 92,915, 263.841
1,180, 93,050.5, 265.036
1,190, 93,220.2, 263.671
1,200, 93,406, 262.692
1,210, 93,557.7, 267.144
1,220, 93,726.5, 265.309
1,230, 93,883.5, 265.707
1,240, 93,997.3, 268.382
1,250, 94,183.1, 267.811
1,260, 94,365.5, 266.507
1,270, 94,500.8, 268.357
1,280, 94,642.5, 269.165
1,290, 94,819.2, 269.552
1,300, 94,967.2, 268.232
1,310, 95,131.1, 269.577
1,320, 95,264.2, 271.048
1,330, 95,407.8, 267.73
1,340, 95,597.5, 270.299
1,350, 95,720.2, 272.499
1,360, 95,910, 271.51
1,370, 96,071, 271.441
1,380, 96,144.2, 275.428
1,390, 96,357.1, 272.619
1,400, 96,569, 272.551
1,410, 96,700.6, 273.396
1,420, 96,822, 274.84
1,430, 96,991.5, 275.768
1,440, 97,118.4, 276.303
1,450, 97,331.2, 275.739
1,460, 97,462.5, 276.857
1,470, 97,581.1, 278.447
1,480, 97,787.1, 277.928
1,490, 97,907.4, 276.633
1,500, 98,086.3, 278.201

versatility_rating, DPS, DPS-Error
0, 72,152.1, 71.4209
10, 72,461.3, 205.705
20, 72,553.9, 206.141
30, 72,694.6, 206.973
40, 72,820.3, 207.285
50, 72,933.2, 208.596
60, 73,082.6, 207.405
70, 73,247.2, 206.775
80, 73,308, 208.872
90, 73,446.5, 208.435
100, 73,637.2, 208.167
110, 73,725.8, 210.229
120, 73,879.5, 209.003
130, 74,011.3, 209.246
140, 74,085.5, 210.455
150, 74,225.7, 211.807
160, 74,367.3, 210.437
170, 74,483.3, 214.103
180, 74,626.4, 210.332
190, 74,752.5, 212.565
200, 74,909.1, 210.901
210, 74,987.5, 212.558
220, 75,147.2, 213.541
230, 75,290.8, 213.059
240, 75,408.5, 214.118
250, 75,536.3, 214.558
260, 75,656.4, 215.056
270, 75,823, 214.564
280, 75,944.1, 215.899
290, 76,003.7, 223.388
300, 76,144.1, 222.677
310, 76,272.1, 224.383
320, 76,386.3, 223.697
330, 76,516.7, 226.124
340, 76,681.5, 226.538
350, 76,736.7, 226.919
360, 76,926, 225.933
370, 77,060.7, 228.502
380, 77,151.9, 227.119
390, 77,299.5, 228.012
400, 77,445.4, 229.066
410, 77,521.1, 228.87
420, 77,681.5, 229.298
430, 77,873.3, 229.411
440, 77,930.2, 228.965
450, 78,051.3, 228.993
460, 78,186.5, 229.785
470, 78,320.4, 230.532
480, 78,457.5, 229.677
490, 78,597.4, 231.865
500, 78,732.9, 232.617
510, 78,836.7, 231.341
520, 78,937.3, 231.162
530, 79,126, 232.805
540, 79,251.7, 233.282
550, 79,310.1, 235.257
560, 79,448.8, 233.544
570, 79,638.6, 234.133
580, 79,736.6, 235.072
590, 79,861.3, 234.583
600, 80,066.1, 234.815
610, 80,142.5, 237.884
620, 80,261.6, 237.034
630, 80,407.6, 238.009
640, 80,559.7, 236.093
650, 80,690.1, 238.854
660, 80,767.9, 235.936
670, 80,919.1, 239.103
680, 81,038.8, 239.105
690, 81,166.9, 238.871
700, 81,312.9, 239.903
710, 81,410.8, 238.302
720, 81,544.8, 239.843
730, 81,716.8, 239.533
740, 81,829.1, 240.698
750, 81,923.8, 241.695
760, 82,081.4, 241.473
770, 82,205.2, 240.926
780, 82,334.7, 242.446
790, 82,478.5, 243.194
800, 82,596.1, 244.388
810, 82,685.8, 244.803
820, 82,824, 244.23
830, 83,009.8, 243.497
840, 83,024.4, 244.205
850, 83,203.4, 244.782
860, 83,391.1, 245.928
870, 83,507.6, 244.015
880, 83,615.8, 247.589
890, 83,751.6, 246.184
900, 83,871, 246.377
910, 84,034.9, 248.342
920, 84,096.6, 248.379
930, 84,260.5, 247.35
940, 84,398.2, 249.947
950, 84,475, 249.29
960, 84,620.8, 249.062
970, 84,807.1, 250.276
980, 84,851.3, 250.353
990, 85,038.4, 251.88
1,000, 85,204.7, 250.101
1,010, 85,231.9, 250.605
1,020, 85,414.9, 252.427
1,030, 85,562.9, 251.783
1,040, 85,629.2, 251.599
1,050, 85,821.6, 253.439
1,060, 85,943.2, 253.238
1,070, 86,077.7, 251.925
1,080, 86,230.5, 254.105
1,090, 86,304.2, 254.729
1,100, 86,420.1, 254.595
1,110, 86,577.3, 254.021
1,120, 86,715, 255.212
1,130, 86,830.4, 255.152
1,140, 86,982.9, 255.925
1,150, 87,024.9, 255.476
1,160, 87,194.3, 257.648
1,170, 87,395.9, 256.66
1,180, 87,455.1, 257.225
1,190, 87,622.9, 258.482
1,200, 87,790.4, 258.669
1,210, 87,837.4, 258.767
1,220, 87,984, 259.909
1,230, 88,164.4, 262.329
1,240, 88,254.5, 260.181
1,250, 88,394, 259.333
1,260, 88,489.7, 259.275
1,270, 88,650, 261.44
