逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
700, 53,074.2, 158.236
710, 53,001.2, 154.076
720, 53,267.7, 149.109
730, 53,323.1, 158.731
740, 53,367.7, 154.69
750, 53,511.1, 155.569
760, 53,447.7, 148.455
770, 53,629.4, 158.311
780, 53,812.4, 152.253
790, 53,670.8, 153.186
800, 54,026.7, 155.53
810, 54,019.8, 154.194
820, 54,052.3, 154.034
830, 54,262.4, 154.08
840, 54,140.8, 158.974
850, 54,434.2, 160.547
860, 54,404.8, 156.672
870, 54,523, 162.195
880, 54,636.3, 154.349
890, 54,556.5, 155.113
900, 54,461.1, 158.839
910, 54,750.2, 150.162
920, 55,087, 159.057
930, 54,994.6, 155.669
940, 55,017.7, 160.843
950, 55,094.7, 155.702
960, 55,123.9, 161.659
970, 55,221.5, 160.6
980, 55,241.4, 157.953
990, 55,388.8, 159.358
1,000, 55,400.5, 153.964
1,010, 55,370, 155.247
1,020, 55,406.6, 159.566
1,030, 55,788.5, 166.794
1,040, 55,733, 160.748
1,050, 55,695.4, 162.712
1,060, 55,762.2, 163.247
1,070, 55,828.4, 163.931
1,080, 56,122.5, 167.091
1,090, 55,936.7, 165.734
1,100, 56,246.5, 161.929
1,110, 56,475.4, 165.993
1,120, 56,325.5, 167.108
1,130, 56,652.8, 161.558
1,140, 56,811, 162.069
1,150, 56,634.2, 166.447
1,160, 56,689.9, 166.971
1,170, 56,898, 169.713
1,180, 56,788.5, 165.952
1,190, 56,920.8, 168.552
1,200, 56,928.1, 164.388
1,210, 57,051, 167.627
1,220, 57,181.5, 163.498
1,230, 57,182.6, 166.235
1,240, 57,317.2, 162.83
1,250, 57,346.6, 167.128
1,260, 57,405, 166.615
1,270, 57,340.9, 162.869
1,280, 57,447.7, 166.913
1,290, 57,467.3, 165.584
1,300, 57,590.3, 168.682
1,310, 57,410.1, 169.214
1,320, 57,419.5, 164.017
1,330, 57,542.8, 159.517
1,340, 57,774, 162.267
1,350, 57,560.3, 166.784
1,360, 57,607.9, 169.577
1,370, 57,735.8, 165.625
1,380, 57,875.4, 171.959
1,390, 57,898.9, 163.377
1,400, 57,993.8, 167.981
1,410, 58,109.6, 165.137
1,420, 58,037.6, 164.869
1,430, 58,003.1, 167.872
1,440, 58,304.4, 170.733
1,450, 58,132.9, 164.298
1,460, 58,340.6, 166.466
1,470, 58,343.7, 163.416
1,480, 58,346, 166.639
1,490, 58,679.2, 168.155
1,500, 58,450.6, 173.207

mastery_rating, DPS, DPS-Error
0, 46,605.6, 46.2792
10, 46,675.4, 139.349
20, 46,752.3, 138.89
30, 46,840.6, 138.443
40, 46,910.8, 139.514
50, 46,976.3, 138.995
60, 47,071.7, 139.363
70, 47,137.4, 139.412
80, 47,219.1, 140.202
90, 47,289.5, 140.423
100, 47,401.8, 132.344
110, 47,461.6, 132.781
120, 47,514.7, 141.178
130, 47,632.4, 133.622
140, 47,697.4, 141.077
150, 47,781.9, 133.773
160, 47,848.8, 135.25
170, 47,923, 135.559
180, 47,997.8, 137.432
190, 48,066.9, 142.518
200, 48,125.5, 143.435
210, 48,235, 135.631
220, 48,288, 144.865
230, 48,382.3, 144.385
240, 48,414.8, 144.304
250, 48,562.7, 144.689
260, 48,612.9, 139.31
270, 48,698, 138.729
280, 48,737.8, 145.269
290, 48,837.4, 138.337
300, 48,916.9, 137.256
310, 49,004.9, 145.828
320, 49,075.2, 144.427
330, 49,164, 140.043
340, 49,222.9, 139.242
350, 49,321.3, 146.485
360, 49,379.9, 140.387
370, 49,446.7, 139.936
380, 49,537.1, 140.026
390, 49,607.7, 140.566
400, 49,728.1, 143.191
410, 49,757.6, 140.574
420, 49,826.8, 142.027
430, 49,923, 141.46
440, 50,009.5, 141.213
450, 50,108.1, 148.599
460, 50,155.7, 142.63
470, 50,238.7, 143.684
480, 50,276.9, 142.946
490, 50,370.1, 144.307
500, 50,475.8, 143.973
510, 50,524.1, 143.322
520, 50,594.1, 144.607
530, 50,673.5, 143.737
540, 50,742.9, 144.889
550, 50,828.4, 145.17
560, 50,886.3, 145.088
570, 50,978, 144.632
580, 51,061.2, 145.683
590, 51,126.4, 147.426
600, 51,223.4, 146.231
610, 51,275.1, 145.985
620, 51,340.6, 146.133
630, 51,465.2, 146.268
640, 51,492.8, 146.557
650, 51,559, 146.192
660, 51,651.9, 146.7
670, 51,728.7, 147.115
680, 51,804.5, 147.006
690, 51,874.6, 148.024
700, 51,953.8, 147.72
710, 52,017.9, 148.874
720, 52,106.6, 148.698
730, 52,187.6, 148.129
740, 52,248.6, 149.21
750, 52,309.1, 149.707
760, 52,405.6, 149.138
770, 52,451, 151.031
780, 52,540.5, 151.525
790, 52,625.6, 150.215
800, 52,691.7, 150.876
810, 52,776.6, 150.291
820, 52,838.4, 150.776
830, 52,906.7, 151.845
840, 53,010.1, 151.121
850, 53,049.6, 152.55
860, 53,141.9, 153.932
870, 53,219.2, 152.744
880, 53,296.3, 152.006
890, 53,359.4, 152.171
900, 53,463.4, 153.508
910, 53,511.2, 153.014
920, 53,569.4, 154.367
930, 53,680.1, 153.06
940, 53,744, 153.537
