逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
1,020, 141,068, 401.368
1,030, 141,467, 407.874
1,040, 141,794, 404.326
1,050, 141,853, 402.529
1,060, 142,001, 412.896
1,070, 142,213, 409.092
1,080, 142,666, 418.305
1,090, 142,642, 418.917
1,100, 142,541, 421.127
1,110, 143,164, 425.611
1,120, 143,321, 410.056
1,130, 143,730, 424.076
1,140, 143,907, 429.146
1,150, 144,240, 410.443
1,160, 144,614, 408.855
1,170, 145,231, 407.013
1,180, 144,740, 406.398
1,190, 145,037, 420.243
1,200, 145,393, 432.095
1,210, 145,662, 433.573
1,220, 145,549, 406.086
1,230, 146,048, 435.391
1,240, 146,107, 422.258
1,250, 145,733, 412.177
1,260, 146,310, 416.013
1,270, 146,609, 418.644
1,280, 147,048, 423.703
1,290, 147,173, 416.156
1,300, 147,590, 424.924
1,310, 147,371, 439.374
1,320, 147,451, 432.014
1,330, 147,304, 420.875
1,340, 148,011, 438.451
1,350, 148,152, 421.339
1,360, 148,379, 430.508
1,370, 148,335, 430.091
1,380, 148,710, 430.492
1,390, 148,835, 435.716
1,400, 149,085, 440.116
1,410, 149,103, 440.027
1,420, 149,084, 428.61
1,430, 149,699, 430.12
1,440, 149,741, 423.623
1,450, 149,800, 442.693
1,460, 149,972, 446.414
1,470, 150,521, 420.974
1,480, 150,392, 428.325
1,490, 150,706, 430.477
1,500, 151,326, 444.965

mastery_rating, DPS, DPS-Error
0, 118,701, 117.872
10, 118,935, 339.242
20, 119,216, 337.815
30, 119,429, 341.835
40, 119,571, 337.023
50, 119,828, 342.974
60, 120,048, 339.358
70, 120,259, 340.845
80, 120,603, 345.506
90, 120,759, 342.09
100, 120,988, 343.787
110, 121,151, 342.69
120, 121,360, 344.966
130, 121,638, 347.124
140, 121,810, 344.497
150, 122,021, 345.904
160, 122,254, 348.28
170, 122,440, 347.706
180, 122,675, 350.151
190, 122,903, 350.714
200, 123,122, 347.751
210, 123,316, 350.811
220, 123,578, 354.274
230, 123,756, 353.711
240, 123,913, 350.358
250, 124,208, 354.85
260, 124,454, 353.405
270, 124,568, 353.614
280, 124,860, 356.389
290, 125,033, 356.104
300, 125,256, 354.549
310, 125,533, 358.3
320, 125,714, 357.085
330, 125,920, 360.538
340, 126,114, 357.597
350, 126,396, 361.685
360, 126,586, 359.213
370, 126,794, 359.509
380, 126,972, 361.699
390, 127,226, 362.692
400, 127,396, 361.809
410, 127,607, 363.421
420, 127,900, 365.035
430, 128,087, 365.587
440, 128,278, 365.648
450, 128,525, 365.22
460, 128,728, 368.435
470, 128,901, 368.338
480, 129,162, 366.207
490, 129,369, 367.32
500, 129,610, 370.128
510, 129,766, 369.948
520, 130,026, 369.266
530, 130,175, 369.547
540, 130,422, 370.862
550, 130,627, 373.257
560, 130,874, 373.863
570, 131,058, 373.885
580, 131,277, 374.454
590, 131,529, 375.053
600, 131,714, 376.441
610, 131,922, 375.795
620, 132,164, 374.727
630, 132,326, 377.04
640, 132,556, 380.255
650, 132,799, 378.743
660, 132,994, 379.541
670, 133,250, 381.362
680, 133,446, 382.364
690, 133,677, 382.328
700, 133,803, 381.787
710, 134,115, 383.974
720, 134,284, 381.342
730, 134,499, 382.372
740, 134,702, 384.279
750, 134,895, 386.145
760, 135,109, 383.682
770, 135,363, 385.802
780, 135,521, 389.818
790, 135,801, 388.697
800, 135,959, 388.118
810, 136,138, 392.551
820, 136,405, 389.708
830, 136,615, 390.33
840, 136,810, 394.831
850, 137,058, 392.442
860, 137,233, 392.855
870, 137,417, 392.187
880, 137,674, 394.479
890, 137,858, 391.731
900, 138,046, 394.845
910, 138,249, 395.51
920, 138,576, 396.994
930, 138,695, 396.765
940, 138,930, 399.603
950, 139,108, 398.465
960, 139,289, 398.868
970, 139,494, 398.104
980, 139,733, 402.464
990, 139,963, 400.71
1,000, 140,179, 403.074
1,010, 140,306, 406.17
1,020, 140,600, 399.967
1,030, 140,807, 403.292
1,040, 141,010, 410.474
1,050, 141,219, 404.676
1,060, 141,366, 406.474
1,070, 141,616, 405.585
1,080, 141,852, 406.58
1,090, 142,040, 408.554
1,100, 142,267, 407.995
1,110, 142,487, 411.133
1,120, 142,675, 408.91
1,130, 142,837, 407.503
1,140, 143,071, 410.319
1,150, 143,197, 410.859
1,160, 143,455, 408.753
1,170, 143,597, 411.258
1,180, 143,765, 412.78
1,190, 144,034, 415.779
1,200, 144,203, 412.517
1,210, 144,324, 414.183
1,220, 144,554, 415.655
1,230, 144,763, 418.172
1,240, 144,957, 417.808
1,250, 145,196, 418.335
1,260, 145,303, 416.608
1,270, 145,521, 418.72
1,280, 145,700, 419.763
1,290, 145,920, 422.532
1,300, 146,061, 418.572
1,310, 146,244, 421.712
1,320, 146,438, 423.42
1,330, 146,645, 418.24
1,340, 146,821, 422.095
1,350, 146,986, 424.202
1,360, 147,206, 421.445
1,370, 147,397, 424.204
1,380, 147,531, 424.857
1,390, 147,786, 423.289
1,400, 147,983, 425.099
1,410, 148,088, 427.982
1,420, 148,293, 429.346
1,430, 148,512, 427.702
1,440, 148,657, 426.971
1,450, 148,984, 428.69
1,460, 149,068, 428.565
1,470, 149,277, 431.922
1,480, 149,400, 429.25
1,490, 149,650, 428.335
1,500, 149,878, 432.494

versatility_rating, DPS, DPS-Error
0, 118,701, 117.872
10, 119,016, 337.369
20, 119,162, 339.938
30, 119,380, 336.095
40, 119,617, 339.48
50, 119,756, 343.239
60, 120,028, 338.635
70, 120,197, 340.098
80, 120,397, 343.822
90, 120,658, 342.119
100, 120,872, 342.381
110, 121,030, 342.892
120, 121,209, 348.235
130, 121,448, 342.45
140, 121,636, 344.216
150, 121,849, 346.911
160, 122,056, 346.44
170, 122,256, 346.514
180, 122,491, 345.566
190, 122,642, 348.945
200, 122,900, 348.065
210, 123,066, 347.694
220, 123,269, 351.049
230, 123,507, 351.05
240, 123,696, 350.282
250, 123,885, 353.894
260, 124,152, 352.897
270, 124,385, 352.644
280, 124,534, 353.256
290, 124,720, 353.641
300, 124,952, 352.779
310, 125,171, 356.939
320, 125,354, 355.048
330, 125,636, 359.748
340, 125,799, 357.153
350, 126,026, 357.551
360, 126,223, 356.641
370, 126,446, 359.66
380, 126,620, 358.339
390, 126,827, 360.847
400, 127,052, 359.001
410, 127,233, 361.032
420, 127,435, 364.7
430, 127,663, 360.902
440, 127,862, 361.668
450, 128,042, 363.801
460, 128,270, 363.648
470, 128,529, 363.41
480, 128,642, 366.847
490, 128,898, 364.805
500, 129,074, 364.638
510, 129,287, 364.824
520, 129,536, 371.294
530, 129,732, 367.673
540, 129,910, 368.861
550, 130,127, 370.236
560, 130,348, 369.999
570, 130,568, 372.331
580, 130,741, 370.465
590, 130,949, 369.56
600, 131,178, 373.243
610, 131,346, 371.468
620, 131,574, 374.793
630, 131,772, 374.929
640, 132,013, 374.7
650, 132,177, 375.824
660, 132,401, 376.298
670, 132,629, 375.426
680, 132,790, 377.654
690, 133,018, 377.531
700, 133,249, 378.485
710, 133,425, 378.613
720, 133,639, 377.06
730, 133,883, 379.819
740, 134,061, 377.902
750, 134,254, 381.188
760, 134,443, 383.273
770, 134,691, 379.797
780, 134,900, 382.47
